user_id,work_id,company,address,founding,url,introduction,first_cost,month_cost,year_cost,function,is_public
1,1,○×商事,〒380-0961 長野県長野市安茂里小市,2000年,https://www.sample/sample.com,○×商事は、優れた会計ソフトウェアと専門知識を結集し、企業や個人事業主のために信頼性と効率性を提供します。私たちは、経理プロセスを簡素化し、財務管理をよりスムーズにし、あなたのビジネスの成功を支えるパートナーとしての役割を果たします。,100,1000,5000,"使いやすいインターフェース: 我々のソフトウェアは直感的で使いやすく、専門知識がない方でも簡単に操作できます。会計作業が簡単でストレスなしに行えます。

カスタマイズ可能: あなたのビジネスに合わせてカスタマイズ可能な機能を提供します。帳簿管理、税務申告、給与計算など、必要な機能を選択して利用できます。

セキュリティと信頼性: データの安全性は私たちの最優先事項です。最新のセキュリティプロトコルとバックアップシステムを採用し、データの安全性を確保します。

専門的なサポート: 私たちのサポートチームは会計に関する専門知識を持っており、お客様の質問や問題に迅速に対応します。お困りごとがあればいつでもお気軽にご相談ください。

コスト効率性: 効率的な会計ソフトウェアは、コストを削減し、業務プロセスを合理化する手助けをします。これにより、収益性を向上させることができます。",true
2,1,aa会計ソフト,〒329-1232 栃木県塩谷郡高根沢町,2000年,https://www.sample/sample.com,AA会計ソフトは、効率的な財務管理を実現し、ビジネスの成功をサポートするために設計された、信頼性の高いソフトウェアです。私たちは、簡単な操作と高度な機能の組み合わせを提供し、あなたの経理プロセスをスムーズにし、財務データを洞察に変えます。,200,2000,10000,"直感的なインターフェース: AA会計ソフトは、使いやすいインターフェースを備えており、初心者からエキスパートまで幅広いユーザーに適しています。煩わしい手続きがなく、ビジネスの本質に集中できます。

多機能: 会計、給与計算、税務申告、財務分析など、あらゆる財務業務をサポートする幅広い機能を提供します。これにより、すべての財務プロセスを統合し、時間と手間を節約できます。

データセキュリティ: 私たちはお客様のデータセキュリティを非常に重要視しています。最新のセキュリティプロトコルを使用し、データの保護とプライバシーを確保します。

カスタマーサポート: 専門的なサポートチームが、お客様の質問や問題に対応し、迅速かつ効果的なサポートを提供します。お客様の成功は私たちの成功です。

コスト効率性: AA会計ソフトは、コストを削減し、リソースの効率的な利用を可能にするため、ビジネスにとってコスト効率的な選択肢です。",true
2,2,bb退勤ソフト,〒321-0156 栃木県宇都宮市兵庫塚町,2000年,https://www.sample/sample.com,BB退勤ソフトは、勤怠管理をシンプルかつ効果的に行える革新的なソフトウェアです。私たちは従業員と雇用主のニーズに合わせ、退勤プロセスを自動化し、時間とリソースを節約します。,200,3000,10000,"シームレスな勤怠記録: BB退勤ソフトは、従業員が出勤と退勤を簡単に記録できるよう設計されています。スマートフォンアプリやウェブインターフェースを通じて、いつでもどこでも退勤を管理できます。

柔軟性とカスタマイズ: さまざまな業界とビジネスに対応するカスタマイズ可能な機能を提供します。シフト制、残業管理、休暇申請など、あなたの要件に合わせて選択できます。

正確な時間追跡: 従業員の時間追跡は正確かつ透明性があり、誤差を最小限に抑えます。これにより、給与計算や労働時間法のコンプライアンスが容易になります。

データ分析とレポート: 従業員の勤怠データを分析し、生産性を向上させるための洞察を提供します。カスタマイズ可能なレポート機能を使用して、ビジネスの意思決定に役立てることができます。

セキュリティとプライバシー: お客様のデータは私たちの最優先事項です。最新のセキュリティ対策を採用し、データの保護とプライバシーを確保します。",true
3,2,cc給料計算ソフト,〒116-0013 東京都荒川区西日暮里,2000年,https://www.sample/sample.com,「CC給料計算ソフト」は、給与計算プロセスを効率化し、企業や組織が従業員に正確な給与を提供するのに役立つ優れたツールです,300,2000,20000,"正確な計算: CC給料計算ソフトは、税金、社会保険、年金などの法的要件を考慮して、給与を正確に計算します。これにより、給与エラーや不正確な計算からくるトラブルを最小限に抑えます。

カスタマイズ可能: 各組織は異なる給与体系を持っていますが、CC給料計算ソフトはカスタマイズ性が高く、様々な給与要件に対応できます。給与明細や給与ボーナスなどの要素を自由に設定し、給与計算をカスタマイズできます。

自動化と効率化: ソフトウェアは繁雑な計算作業を自動化し、時間と労力を節約します。給与計算、源泉所得税の計算、給与明細の生成などのプロセスが迅速に実行され、エラーのリスクが低減します。

法的規制への適合: CC給料計算ソフトは、地域や国の労働法規制に合致するよう設計されています。これにより、法的なコンプライアンスを維持し、罰金や法的問題を避けるのに役立ちます。

レポーティングと記録管理: 給与データを簡単にアクセスし、必要なレポートや記録を生成できます。これにより、給与のトレーサビリティが向上し、給与計算プロセスの透明性が確保されます。",true
4,1,ddOCRソフト,〒150-0043 東京都渋谷区道玄坂,2000年,https://www.sample/sample.com,「ddOCRソフト」は、最先端の光学文字認識（OCR）技術を活用して、印刷物やスキャンされた文書からテキスト情報を迅速かつ正確に抽出するソフトウェアです。ddOCRは、以下の特長を持つ、革新的な文書処理ツールです。,500,4000,40000,"高精度なテキスト認識: ddOCRは高度なOCRアルゴリズムを採用し、高い認識精度を提供します。印刷文字、手書き文字、様々なフォントや文字サイズに対応し、誤認識を最小限に抑えます。

多言語対応: 世界中の言語や文字セットに対応しており、多言語の文書を問題なく処理できます。国際的なビジネスや多言語環境での使用に適しています。

バッチ処理: 大量の文書を一括で処理できるバッチ処理機能を提供し、作業の効率化を図ります。時間のかかる手作業を削減し、生産性を向上させます。

使いやすいインターフェース: 直感的なユーザーインターフェースを備え、簡単に操作できます。専門知識がなくても、誰でも効果的に利用できます。

データのデジタル化と活用: ddOCRは紙文書をデジタルデータに変換するための強力なツールです。データベースへの統合、文書検索、分析、自動化プロセスの実現など、多くの用途で活用できます。",true
5,3,ee利用者請求書作成ソフト,〒790-8587 愛媛県松山市湊町,2000年,https://www.sample/sample.com,「ee利用者請求書作成ソフト」は、請求書の作成プロセスをスムーズかつ効率的に行うための優れたツールです。このソフトウェアは、ビジネスやフリーランスの専門家、サービスプロバイダーにとって、顧客への請求書作成を簡便化する。,300,2000,50000,"簡単な請求書作成: ee利用者請求書作成ソフトは、直感的なインターフェースを備え、ユーザーフレンドリーな操作を提供します。ユーザーは簡単に請求書を作成し、必要な情報を迅速に入力できます。

カスタマイズ性: カスタムロゴ、カラースキーム、テンプレート、およびフォントの選択など、請求書のデザインを自由にカスタマイズできます。自分のブランドイメージに合ったプロフェッショナルな請求書を作成できます。

税金および料金の自動計算: ee利用者請求書作成ソフトは、税金、消費税、手数料などを自動的に計算し、請求書に反映させる機能を提供します。これにより、誤った計算を防ぎ、法的要件に準拠します。

オンライン支払いオプション: 顧客に対してオンライン支払いのオプションを提供できる機能を統合しており、支払いプロセスをスムーズにします。顧客が便利に支払いを行えるため、未収金の削減にも寄与します。

請求書管理: 作成した請求書を一元管理し、請求書のステータスを追跡できる機能を提供���ます。未払いの請求書を追跡し、クライアントとのコミュニケーションを強化します。",true
5,3,gg電子カルテソフト,〒607-8029　京都市山科区四ノ宮大将軍町,2000年,https://www.sample/sample.com,「GG電子カルテソフト」は、医療機関や診療所における患者の医療記録をデジタル化し、効率的な医療管理を実現するための高度なツールです。このソフトウェアは、医療プロフェッショナルにとって以下のような利点を提供します。,200,3000,40000,"総合的な患者管理: GG電子カルテソフトは、患者の詳細な医療情報を一元管理できるプラットフォームを提供します。診察履歴、診断、処方箋、検査結果、予約履歴など、すべての情報を容易にアクセスできます。

カスタマイズ性: ソフトウェアは様々な医療専門分野や診療所のニーズに合わせてカスタマイズできます。カスタムフォームやテンプレートを使用して、独自のデータ項目やワークフローを設定できます。

電子処方箋と医療オーダー: 医療プロフェッショナルは電子処方箋を簡単に作成し、患者に送信できます。また、必要な検査や手術のオーダーも電子化でき、精確な情報の共有を実現します。

セキュリティとプライバシー: GG電子カルテソフトは、患者のプライバシーとセキュリティを確保するための高度なセキュリティ対策を備えています。機密情報のアクセスを制限し、HIPAAなどの規制に準拠します。

予約管理: ソフトウェアは予約の管理とスケジュール調整を支援し、医療機関の効率を向上させます。患者の予約や再スケジュールを簡単に行えます。

データ解析とレポート: GG電子カルテソフトは医療データの分析と報告を可能にし、治療効果のトラッキングや臨床評価を支援します。
",true
2,2,ff交通費精算ソフト,〒990-0850 山形県山形市くぬぎさわ,2000年,https://www.sample/sample.com,"「FF交通費精算ソフト」は、従業員やビジネス旅行者が出張や通勤の際に発生する交通費を簡単かつ効率的に精算するための専用ツールです。
FF交通費精算ソフトは、交通費精算プロセスを合理化し、組織が正確な経費データを収集し、従業員やビジネスパートナーに迅速に支払いを行えるように支援します。経費の追跡、精算、報告書作成が効率的に行えるため、組織の財務管理が向上し、作業の手間が軽減されます。",100,2000,20000,"簡単な交通費記録: FF交通費精算ソフトは、従業員が交通費に関する情報を簡単に入力できるように設計されています。交通手段、出発地、到着地、日付、支出金額などを迅速かつ正確に記録できます。

レシートのデジタル保存: スマートフォンのカメラを使用して、紙のレシートを撮影しデジタル化する機能を備えています。これにより、紙のレシートを紛失するリスクを軽減し、デジタルデータを即座に利用できます。

法的規制への適合: FF交通費精算ソフトは、税務規制や会社の方針に合致するための機能を提供します。法的要件を守りつつ、正確な交通費精算を行えます。

承認ワークフロー: 交通費精算が上司や承認者による承認プロセスを経る場合、ソフトウェアはカスタマイズ可能な承認ワークフローを提供し、精算プロセスをスムーズにします。

報告書と分析: 交通費データを集計し、詳細なレポートや分析を生成できる機能を提供します。これにより、予算管理や経費削減のためのデータ駆動型意思決定を行えます。

オンライン支払いオプション: 従業員に対してオンライン支払いのオプションを提供し、支払いプロセスを効率化します。",true
3,2,hh給料計算ソフト,〒807-0823 福岡県北九州市八幡西区,2000年,https://www.sample/sample.com,「HH給料計算ソフト」は、組織や企業が従業員に対する給与計算プロセスを自動化し、正確で効率的な給与支払いを行うためのソフトウェアです。このソフトウェアは、給与計算に関連するさまざまなタスクを簡素化する。,100,2000,30000,"正確な給与計算: HH給料計算ソフトは、税金、社会保険、年金などの法的要件を考慮して、給与を正確に計算します。これにより、給与エラーや不正確な計算からくるトラブルを最小限に抑えます。

カスタマイズ可能: 各組織は異なる給与体系を持っていますが、HH給料計算ソフトはカスタマイズ性が高く、様々な給与要件に対応できます。給与明細や給与ボーナスなどの要素を自由に設定し、給与計算をカスタマイズできます。

自動化と効率化: ソフトウェアは繁雑な計算作業を自動化し、時間と労力を節約します。給与計算、源泉所得税の計算、給与明細の生成などのプロセスが迅速に実行され、エラーのリスクが低減します。

法的規制への適合: HH給料計算ソフトは、地域や国の労働法規制に合致するよう設計されています。これにより、法的なコンプライアンスを維持し、罰金や法的問題を避けるのに役立ちます。

レポーティングと記録管理: 給与データを簡単にアクセスし、必要なレポートや記録を生成できます。これにより、給与のトレーサビリティが向上し、給与計算プロセスの透明性が確保されます。",true
4,3,ii預金管理ソフト,〒999-0421 山形県西置賜郡飯豊町,2000年,https://www.sample/sample.com,「II預金管理ソフト」は、個人や企業が銀行口座や投資口座などの預金と資産を効果的に管理するための頼れるソフトウェアです。このソフトウェアは、資産のトラッキング、資産配分の最適化、金融目標の達成、財務プランニングなど、多くの面で役立つ特長を提供します。,100,2000,30000,"総合的な資産管理: II預金管理ソフトは、銀行口座、投資口座、貯蓄口座、クレジットカードなどの資産を統合的に管理できます。すべての金融情報を一元化し、全体像を把握できます。

トランザクション記録: ソフトウェアは預金や支出のトランザクションを追跡し、毎月の財務履歴を提供します。これにより、資産の動向を把握しやすくなります。

予算管理: 予算を設定し、実績と比較する機能を備えています。予算の遵守状況を監視し、支出を制御するのに役立ちます。

資産のグラフィカル表示: 資産の配分やポートフォリオの変化を視覚的に把握できるチャートやグラフを提供します。これにより、資産の最適な配分を追求できます。

金融目標の設定: 将来の金融目標（退職、教育費、住宅購入など）を設定し、それらの目標達成のための計画を立てるのに役立ちます。

セキュリティとプライバシー: II預金管理ソフトは、ユーザーの金融データのセキュリティとプライバシーを確保するための強力なセキュリティ対策を提供します。",true
